Run,t_off,T_out,T_in_init,T_set,tau,COP,E_A,E_B
1,2,28,26,22,2,2.6,5.538461538461538,5.748652810198194
2,2,30,27,24,9,4.0,3.5999999999999996,4.664177411060011
3,2,32,28,26,4,3.6,4.0,4.336933286529273
4,2,34,29,23,12,3.3,8.0,11.54359427095182
5,2,36,30,25,6,3.0,8.8,10.3692269463271
6,5,28,27,23,4,3.0,4.0,4.206361808481769
7,5,30,28,25,12,2.6,4.615384615384615,6.500870999357556
8,5,32,29,22,6,4.0,6.0,6.914753011545447
9,5,34,30,24,2,3.6,6.666666666666667,6.1608688073361515
10,5,36,26,26,9,3.3,7.272727272727273,7.783802449873164
11,8,28,28,24,6,3.3,2.909090909090909,3.142018843756227
12,8,30,29,26,2,3.0,3.2,2.5720344098077583
13,8,32,30,23,9,2.6,8.307692307692307,10.211242666959889
14,8,34,26,25,4,4.0,5.4,4.913215849152609
15,8,36,27,22,12,3.6,9.333333333333332,11.558708114429393
16,11,28,29,25,9,3.6,2.0,2.4448545829495485
17,11,30,30,22,4,3.3,5.818181818181818,4.743370127779444
18,11,32,26,24,12,3.0,6.4,7.2443280914812735
19,11,34,27,26,6,2.6,7.384615384615383,6.636797451666179
20,11,36,28,23,2,4.0,7.800000000000001,5.284885804759282
21,14,28,30,26,12,4.0,1.2000000000000002,1.8003077791318554
22,14,30,26,23,6,3.6,4.666666666666666,3.7652903296199303
23,14,32,27,25,2,3.3,5.090909090909091,2.818449954454178
24,14,34,28,22,9,3.0,9.600000000000001,9.322398385217092
25,14,36,29,24,4,2.6,11.076923076923077,7.5694414994992325
