Run,t_off,T_out,T_in_init,T_set,tau,COP,E_A,E_B,delta_E,savings_pct,winner
1,2,28,26,22,2,2.6,5.5385,5.3469,0.1916,3.46,B关机更省
2,2,30,27,23,4,3.0,5.6,5.5938,0.0062,0.11,B关机更省
3,2,32,28,24,6,3.3,5.8182,5.9556,-0.1374,-2.36,A常开更省
4,2,34,29,25,9,3.6,6.0,6.3327,-0.3327,-5.55,A常开更省
5,2,36,30,26,12,4.0,6.0,6.4842,-0.4842,-8.07,A常开更省
6,5,28,27,24,9,4.0,2.4,2.4139,-0.0139,-0.58,A常开更省
7,5,30,28,25,12,2.6,4.6154,4.7866,-0.1712,-3.71,A常开更省
8,5,32,29,26,2,3.0,4.8,4.0557,0.7443,15.51,B关机更省
9,5,34,30,22,4,3.3,8.7273,7.7862,0.9411,10.78,B关机更省
10,5,36,26,23,6,3.6,8.6667,7.8227,0.844,9.74,B关机更省
11,8,28,28,26,4,3.6,1.3333,1.037,0.2963,22.22,B关机更省
12,8,30,29,22,6,4.0,4.8,3.9736,0.8264,17.22,B关机更省
13,8,32,30,23,9,2.6,8.3077,7.4256,0.8821,10.62,B关机更省
14,8,34,26,24,12,3.0,8.0,6.9047,1.0953,13.69,B关机更省
15,8,36,27,25,2,3.3,8.0,5.7711,2.2289,27.86,B关机更省
16,11,28,29,23,12,3.3,3.6364,3.2788,0.3576,9.83,B关机更省
17,11,30,30,24,2,3.6,4.0,2.3889,1.6111,40.28,B关机更省
18,11,32,26,25,4,4.0,4.2,2.7161,1.4839,35.33,B关机更省
19,11,34,27,26,6,2.6,7.3846,5.0586,2.326,31.5,B关机更省
20,11,36,28,22,9,3.0,11.2,8.3953,2.8047,25.04,B关机更省
21,14,28,30,25,6,3.0,2.4,1.4259,0.9741,40.59,B关机更省
22,14,30,26,26,9,3.3,2.9091,1.7859,1.1232,38.61,B关机更省
23,14,32,27,22,12,3.6,6.6667,4.6905,1.9761,29.64,B关机更省
24,14,34,28,23,2,4.0,6.6,3.1165,3.4835,52.78,B关机更省
25,14,36,29,24,4,2.6,11.0769,5.8245,5.2524,47.42,B关机更省
