Run,t_off,T_out,T_in_init,T_set,tau,COP,E_A,E_B,delta_E,savings_pct,winner
1,2,26,26,22,2,2.6,3.6923,3.5897,0.1026,2.78,B关机更省
2,2,30,27,23,4,3.0,5.6,5.5938,0.0062,0.11,B关机更省
3,2,34,28,24,6,3.3,7.2727,7.3577,-0.0849,-1.17,A常开更省
4,2,38,29,25,9,3.6,8.6667,8.91,-0.2433,-2.81,A常开更省
5,2,40,30,26,12,4.0,8.4,8.807,-0.407,-4.85,A常开更省
6,5,26,27,24,9,4.0,1.2,1.3361,-0.1361,-11.34,A常开更省
7,5,30,28,25,12,2.6,4.6154,4.7866,-0.1712,-3.71,A常开更省
8,5,34,29,26,2,3.0,6.4,5.404,0.996,15.56,B关机更省
9,5,38,30,22,4,3.3,11.6364,10.3198,1.3165,11.31,B关机更省
10,5,40,26,23,6,3.6,11.3333,10.1851,1.1483,10.13,B关机更省
11,8,26,28,26,4,3.6,0.0,0.0501,-0.0501,0.0,A常开更省
12,8,30,29,22,6,4.0,4.8,3.9736,0.8264,17.22,B关机更省
13,8,34,30,23,9,2.6,10.1538,8.9282,1.2256,12.07,B关机更省
14,8,38,26,24,12,3.0,11.2,9.5571,1.6429,14.67,B关机更省
15,8,40,27,25,2,3.3,10.9091,7.8692,3.0399,27.87,B关机更省
16,11,26,29,23,12,3.3,2.1818,2.5452,-0.3634,-16.65,A常开更省
17,11,30,30,24,2,3.6,4.0,2.3889,1.6111,40.28,B关机更省
18,11,34,26,25,4,4.0,5.4,3.4909,1.9091,35.35,B关机更省
19,11,38,27,26,6,2.6,11.0769,7.5756,3.5013,31.61,B关机更省
20,11,40,28,22,9,3.0,14.4,10.693,3.707,25.74,B关机更省
21,14,26,30,25,6,3.0,0.8,0.5184,0.2816,35.2,B关机更省
22,14,30,26,26,9,3.3,2.9091,1.7859,1.1232,38.61,B关机更省
23,14,34,27,22,12,3.6,8.0,5.5156,2.4844,31.06,B关机更省
24,14,38,28,23,2,4.0,9.0,4.2497,4.7503,52.78,B关机更省
25,14,40,29,24,4,2.6,14.7692,7.7608,7.0084,47.45,B关机更省
26,2,26,26,22,2,2.6,3.6923,3.5897,0.1026,2.78,B关机更省
27,2,30,27,23,4,3.0,5.6,5.5938,0.0062,0.11,B关机更省
28,2,34,28,24,6,3.3,7.2727,7.3577,-0.0849,-1.17,A常开更省
29,2,38,29,25,9,3.6,8.6667,8.91,-0.2433,-2.81,A常开更省
30,2,40,30,26,12,4.0,8.4,8.807,-0.407,-4.85,A常开更省
31,5,26,27,24,9,4.0,1.2,1.3361,-0.1361,-11.34,A常开更省
32,5,30,28,25,12,2.6,4.6154,4.7866,-0.1712,-3.71,A常开更省
33,5,34,29,26,2,3.0,6.4,5.404,0.996,15.56,B关机更省
34,5,38,30,22,4,3.3,11.6364,10.3198,1.3165,11.31,B关机更省
35,5,40,26,23,6,3.6,11.3333,10.1851,1.1483,10.13,B关机更省
36,8,26,28,26,4,3.6,0.0,0.0501,-0.0501,0.0,A常开更省
37,8,30,29,22,6,4.0,4.8,3.9736,0.8264,17.22,B关机更省
38,8,34,30,23,9,2.6,10.1538,8.9282,1.2256,12.07,B关机更省
39,8,38,26,24,12,3.0,11.2,9.5571,1.6429,14.67,B关机更省
40,8,40,27,25,2,3.3,10.9091,7.8692,3.0399,27.87,B关机更省
41,11,26,29,23,12,3.3,2.1818,2.5452,-0.3634,-16.65,A常开更省
42,11,30,30,24,2,3.6,4.0,2.3889,1.6111,40.28,B关机更省
43,11,34,26,25,4,4.0,5.4,3.4909,1.9091,35.35,B关机更省
44,11,38,27,26,6,2.6,11.0769,7.5756,3.5013,31.61,B关机更省
45,11,40,28,22,9,3.0,14.4,10.693,3.707,25.74,B关机更省
46,14,26,30,25,6,3.0,0.8,0.5184,0.2816,35.2,B关机更省
47,14,30,26,26,9,3.3,2.9091,1.7859,1.1232,38.61,B关机更省
48,14,34,27,22,12,3.6,8.0,5.5156,2.4844,31.06,B关机更省
49,14,38,28,23,2,4.0,9.0,4.2497,4.7503,52.78,B关机更省
50,14,40,29,24,4,2.6,14.7692,7.7608,7.0084,47.45,B关机更省
