Run,t_off,T_out,T_in_init,T_set,tau,COP,E_A,E_B,delta_E,savings_pct,winner
1,7.0,30.0,28.0,24.0,4.0,3.0,4.8,3.9024,0.8976,18.7,B关机更省
2,7.0,32.0,28.0,24.0,4.0,3.0,6.4,5.1827,1.2173,19.02,B关机更省
3,7.0,34.0,28.0,24.0,4.0,3.0,8.0,6.4629,1.5371,19.21,B关机更省
4,7.0,36.0,28.0,24.0,4.0,3.0,9.6,7.7431,1.8569,19.34,B关机更省
5,8.0,30.0,28.0,24.0,4.0,3.0,4.8,3.7093,1.0907,22.72,B关机更省
6,8.0,32.0,28.0,24.0,4.0,3.0,6.4,4.9297,1.4703,22.97,B关机更省
7,8.0,34.0,28.0,24.0,4.0,3.0,8.0,6.15,1.85,23.12,B关机更省
8,8.0,36.0,28.0,24.0,4.0,3.0,9.6,7.3704,2.2296,23.22,B关机更省
9,9.0,30.0,28.0,24.0,4.0,3.0,4.8,3.5146,1.2854,26.78,B关机更省
10,9.0,32.0,28.0,24.0,4.0,3.0,6.4,4.6736,1.7264,26.97,B关机更省
11,9.0,34.0,28.0,24.0,4.0,3.0,8.0,5.8327,2.1673,27.09,B关机更省
12,9.0,36.0,28.0,24.0,4.0,3.0,9.6,6.9917,2.6083,27.17,B关机更省
13,10.0,30.0,28.0,24.0,4.0,3.0,4.8,3.3187,1.4813,30.86,B关机更省
14,10.0,32.0,28.0,24.0,4.0,3.0,6.4,4.4153,1.9847,31.01,B关机更省
15,10.0,34.0,28.0,24.0,4.0,3.0,8.0,5.5118,2.4882,31.1,B关机更省
16,10.0,36.0,28.0,24.0,4.0,3.0,9.6,6.6083,2.9917,31.16,B关机更省
17,12.0,30.0,28.0,24.0,4.0,3.0,4.8,2.9245,1.8755,39.07,B关机更省
18,12.0,32.0,28.0,24.0,4.0,3.0,6.4,3.8934,2.5066,39.17,B关机更省
19,12.0,34.0,28.0,24.0,4.0,3.0,8.0,4.8623,3.1377,39.22,B关机更省
20,12.0,36.0,28.0,24.0,4.0,3.0,9.6,5.8313,3.7687,39.26,B关机更省
